Company,Age,Salary,Place,Gender
TCS,20.0,5283.471074380165,Chennai,M
Infosys,30.0,5283.471074380165,Mumbai,M
TCS,35.0,2300.0,Calcutta,M
Infosys,40.0,3000.0,Delhi,M
TCS,23.0,4000.0,Mumbai,M
Infosys,30.52755905511811,5000.0,Calcutta,M
TCS,30.52755905511811,6000.0,Chennai,F
Infosys,23.0,7000.0,Mumbai,F
TCS,34.0,8000.0,Calcutta,F
CTS,45.0,9000.0,Delhi,M
CTS,23.0,5283.471074380165,Mumbai,M
CTS,34.0,1089.0,Calcutta,M
CTS,45.0,5283.471074380165,Chennai,M
CTS,18.0,1234.0,Mumbai,M
Infosys,40.0,3000.0,Calcutta,M
TCS,23.0,3000.0,Delhi,M
Infosys,23.0,3030.0,Podicherry,M
TCS,34.0,5000.0,Cochin,M
TCS,22.0,5283.471074380165,Chennai,M
Infosys,32.0,5283.471074380165,Mumbai,M
TCS,37.0,3045.0,Calcutta,M
Infosys,50.0,3184.0,Delhi,M
TCS,21.0,4824.0,Mumbai,M
Infosys,30.52755905511811,5835.0,Cochin,M
TCS,30.52755905511811,7084.0,Chennai,F
Infosys,23.0,8943.0,Mumbai,F
TCS,34.0,8345.0,Calcutta,F
CTS,45.0,9284.0,Delhi,F
CTS,23.0,9876.0,Mumbai,F
CTS,35.0,2034.0,Cochin,M
CTS,46.0,7654.0,Chennai,M
CTS,20.0,2934.0,Mumbai,M
Infosys,45.0,4034.0,Calcutta,M
TCS,36.0,5034.0,Mumbai,M
Infosys,26.0,8202.0,Mumbai,M
TCS,35.0,9024.0,Mumbai,F
TCS,32.0,5283.471074380165,Noida,M
TCS,35.0,5283.471074380165,Hyderabad,M
TCS,34.0,2300.0,Calcutta,M
Infosys,41.0,3000.0,Mumbai,M
TCS,24.0,4345.0,Calcutta,M
Infosys,30.52755905511811,5000.0,Mumbai,M
TCS,30.52755905511811,6000.0,Mumbai,M
Infosys,25.0,7000.0,Mumbai,M
TCS,35.0,8000.0,Noida,F
CTS,46.0,9000.0,Hyderabad,F
CTS,24.0,5283.471074380165,Calcutta,M
CTS,32.0,1089.0,Mumbai,M
CTS,43.0,5283.471074380165,Mumbai,M
CTS,19.0,1234.0,Cochin,M
Infosys,41.0,3000.0,Chennai,M
TCS,24.0,3000.0,Mumbai,M
Infosys,21.0,3030.0,Calcutta,M
TCS,35.0,5000.0,Delhi,M
TCS,21.0,6544.0,Mumbai,M
Infosys,32.0,7654.0,Cochin,M
TCS,38.0,3045.0,Noida,M
Infosys,51.0,3184.0,Hyderabad,M
TCS,23.0,4824.0,Calcutta,M
Infosys,30.52755905511811,5835.0,Mumbai,M
TCS,30.52755905511811,7084.0,Calcutta,M
TCS,25.0,8943.0,Mumbai,F
Tata Consultancy Services,36.0,8345.0,Mumbai,F
CTS,41.0,9284.0,Mumbai,F
TCS,25.0,6543.0,Noida,M
CTS,31.0,2034.0,Hyderabad,M
CTS,41.0,5283.471074380165,Calcutta,M
Congnizant,21.0,2934.0,Mumbai,M
Infosys,43.0,4034.0,Mumbai,M
TCS,32.0,5034.0,Cochin,M
Infosys Pvt Lmt,21.0,8202.0,Chennai,M
TCS,34.0,9024.0,Mumbai,F
TCS,24.0,5283.471074380165,Calcutta,M
Infosys,34.0,5283.471074380165,Delhi,M
TCS,37.0,2300.0,Mumbai,M
Infosys,44.0,3000.0,Cochin,M
TCS,32.0,4000.0,Noida,M
Infosys,30.52755905511811,5000.0,Hyderabad,M
TCS,30.52755905511811,6000.0,Calcutta,M
Infosys,26.0,7000.0,Bhopal,M
TCS,32.0,8000.0,Nagpur,M
CTS,43.0,9000.0,Pune,F
CTS,22.0,5283.471074380165,Pune,M
CTS,33.0,1089.0,Chennai,M
CTS,17.0,1234.0,Calcutta,M
Infosys,41.0,3000.0,Delhi,M
TCS,21.0,3000.0,Mumbai,M
Infosys,0.0,3030.0,Calcutta,M
TCS,36.0,5000.0,Chennai,M
TCS,21.0,5283.471074380165,Mumbai,M
Infosys,34.0,5283.471074380165,Calcutta,M
TCS,0.0,3045.0,Delhi,M
Infosys,54.0,3184.0,Mumbai,M
TCS,22.0,4824.0,Calcutta,M
Infosys,30.52755905511811,5835.0,Chennai,M
TCS,30.52755905511811,7084.0,Mumbai,F
Infosys,22.0,8943.0,Calcutta,F
TCS,33.0,8345.0,Delhi,F
CTS,44.0,9284.0,Podicherry,F
CTS,22.0,5283.471074380165,Cochin,M
CTS,0.0,2034.0,Podicherry,M
CTS,44.0,5283.471074380165,Mumbai,M
CTS,22.0,2934.0,Calcutta,M
Infosys,44.0,4034.0,Delhi,M
TCS,33.0,5034.0,Mumbai,M
Infosys,22.0,8202.0,Cochin,F
TCS,0.0,9024.0,Chennai,F
TCS,33.0,5283.471074380165,Mumbai,M
TCS,33.0,5283.471074380165,Calcutta,M
TCS,33.0,2300.0,Delhi,M
Infosys,0.0,3234.0,Mumbai,M
TCS,22.0,4324.0,Cochin,M
Infosys,30.52755905511811,5435.0,Chennai,M
TCS,30.52755905511811,5555.0,Mumbai,M
Infosys,22.0,8787.0,Calcutta,M
TCS,33.0,8787.0,Mumbai,F
CTS,44.0,9876.0,Mumbai,F
CTS,22.0,5283.471074380165,Mumbai,M
CTS,33.0,1089.0,Noida,M
CTS,44.0,5283.471074380165,Hyderabad,M
CTS,0.0,1234.0,Calcutta,M
Infosys,44.0,3234.0,Mumbai,M
TCS,30.52755905511811,3454.0,Calcutta,M
Infosys,22.0,8787.0,Calcutta,F
TCS,33.0,5654.0,Mumbai,F
TCS,20.0,5009.0,Mumbai,F
Infosys,30.0,5098.0,Noida,M
TCS,33.0,3045.0,Hyderabad,M
Infosys,50.0,3184.0,Calcutta,M
TCS,30.52755905511811,7084.0,Cochin,F
TCS,22.0,8943.0,Chennai,M
Tata Consultancy Services,31.0,8345.0,Mumbai,M
CTS,40.0,9284.0,Calcutta,F
TCS,30.52755905511811,5283.471074380165,Delhi,M
CTS,31.0,2034.0,Mumbai,M
CTS,44.0,3033.0,Cochin,M
Congnizant,22.0,2934.0,Noida,M
Infosys,44.0,4034.0,Hyderabad,M
TCS,33.0,5034.0,Calcutta,M
Infosys Pvt Lmt,22.0,8202.0,Mumbai,M
TCS,33.0,9024.0,Calcutta,F
Infosys,44.0,4034.0,Delhi,F
TCS,33.0,5034.0,Mumbai,F
Infosys,22.0,8202.0,Cochin,M
